trx_id;trx_date;SKU_CODE;outlet;QtySold;net_sales;CHANNEL;payment_method;product_price
TRX1002908;02/01/2024;SKU027;OUT-007;4;375000;GT;Cash;25000
TRX1000193;02/01/2024;SKU021;OUT-001;7;100000;MT;Cash;75000
TRX1001477;02/01/2024;SKU005;OUT-006;4;35000;GT;Cash;25000
TRX1000315;02/01/2024;SKU025;OUT-002;4;75000;MT;Cash;25000
TRX1003353;02/01/2024;SKU006;OUT-007;3;150000;GT;QRIS;75000
TRX1002957;02/01/2024;SKU028;OUT-014;3;50000;MT;Cash;35000
TRX1002318;02/01/2024;SKU016;OUT-005;1;225000;GT;QRIS;75000
TRX1000755;02/01/2024;SKU022;OUT-012;5;75000;GT;QRIS;55000
TRX1002689;02/01/2024;SKU043;OUT-010;1;250000;MT;QRIS;125000
TRX1003439;02/01/2024;SKU019;OUT-025;11;55000;MT;Credit Card;75000
TRX1001736;02/01/2024;SKU029;OUT-025;7;180000;MT;QRIS;125000
TRX1000032;02/01/2024;SKU026;OUT-006;1;300000;GT;Cash;45000
TRX1000042;02/01/2024;SKU042;OUT-010;4;125000;GT;Cash;75000
TRX1003677;02/01/2024;SKU033;OUT-016;11;375000;MT;Credit Card;55000
TRX1002127;03/01/2024;SKU041;OUT-019;4;275000;GT;Cash;25000
TRX1002701;03/01/2024;SKU018;OUT-024;11;70000;MT;QRIS;125000
TRX1001425;03/01/2024;SKU020;OUT-015;7;105000;MT;QRIS;125000
TRX1001923;03/01/2024;SKU040;OUT-011;3;45000;GT;Cash;75000
TRX1003314;03/01/2024;SKU015;OUT-008;1;100000;MT;Credit Card;35000
TRX1000226;03/01/2024;SKU017;OUT-022;2;135000;MT;Debit;55000
TRX1002859;03/01/2024;SKU042;OUT-020;11;90000;MT;Credit Card;25000
TRX1001553;03/01/2024;SKU017;OUT-023;5;275000;GT;Cash;45000
TRX1000586;03/01/2024;SKU018;OUT-001;5;135000;GT;QRIS;55000
TRX1001006;03/01/2024;SKU018;OUT-025;5;275000;GT;Cash;45000
TRX1001343;03/01/2024;SKU042;OUT-013;1;70000;GT;QRIS;75000
TRX1002892;03/01/2024;SKU042;OUT-017;1;140000;GT;Cash;125000
TRX1003817;03/01/2024;SKU006;OUT-010;3;625000;GT;QRIS;35000
TRX1002916;03/01/2024;SKU004;OUT-002;3;125000;GT;Cash;55000
TRX1002914;03/01/2024;SKU041;OUT-008;3;25000;GT;Cash;75000
TRX1002889;03/01/2024;SKU045;OUT-005;5;125000;GT;QRIS;45000
TRX1003423;03/01/2024;SKU043;OUT-016;5;110000;MT;QRIS;125000
TRX1000131;03/01/2024;SKU001;OUT-025;3;25000;GT;Cash;45000
TRX1002453;03/01/2024;SKU034;OUT-003;7;25000;MT;Credit Card;45000
TRX1001709;03/01/2024;SKU009;OUT-002;10;105000;MT;QRIS;55000
TRX1002548;03/01/2024;SKU032;OUT-009;3;35000;MT;Credit Card;55000
TRX1000553;03/01/2024;SKU033;OUT-018;6;125000;MT;Credit Card;25000
TRX1001588;03/01/2024;SKU018;OUT-019;5;75000;GT;QRIS;125000
TRX1002547;03/01/2024;SKU025;OUT-004;3;35000;MT;QRIS;25000
TRX1002755;03/01/2024;SKU020;OUT-001;4;75000;MT;Debit;75000
TRX1001591;03/01/2024;SKU033;OUT-011;11;125000;MT;Credit Card;125000
TRX1003772;03/01/2024;SKU042;OUT-021;1;105000;GT;Cash;35000
TRX1001690;03/01/2024;SKU021;OUT-015;2;125000;GT;QRIS;25000
TRX1000606;03/01/2024;SKU022;OUT-004;2;75000;GT;Cash;125000
TRX1000296;03/01/2024;SKU045;OUT-009;1;90000;MT;Debit;45000
TRX1000298;03/01/2024;SKU010;OUT-021;9;225000;MT;QRIS;35000
TRX1003135;03/01/2024;SKU014;OUT-014;5;110000;GT;QRIS;75000
TRX1002829;03/01/2024;SKU039;OUT-018;3;70000;GT;Cash;25000
TRX1001526;03/01/2024;SKU017;OUT-024;2;100000;GT;Cash;55000
TRX1001401;03/01/2024;SKU009;OUT-025;2;175000;GT;QRIS;25000
TRX1000680;03/01/2024;SKU017;OUT-018;2;375000;MT;Cash;45000
TRX1001854;03/01/2024;SKU031;OUT-014;1;70000;MT;Credit Card;25000
TRX1002274;03/01/2024;SKU040;OUT-024;3;110000;MT;Credit Card;55000
TRX1002104;03/01/2024;SKU026;OUT-012;3;135000;MT;QRIS;25000
TRX1001071;03/01/2024;SKU031;OUT-002;8;50000;MT;Cash;35000
TRX1001132;03/01/2024;SKU026;OUT-010;4;625000;GT;QRIS;35000
TRX1003289;03/01/2024;SKU006;OUT-013;6;275000;MT;QRIS;55000
TRX1002930;03/01/2024;SKU014;OUT-001;3;500000;GT;Cash;125000
TRX1003006;04/01/2024;SKU036;OUT-018;3;625000;GT;Cash;55000
TRX1003695;04/01/2024;SKU020;OUT-001;10;275000;MT;Cash;75000
TRX1002574;04/01/2024;SKU037;OUT-016;7;165000;MT;Debit;35000
TRX1002918;04/01/2024;SKU041;OUT-001;1;45000;GT;Cash;45000
TRX1002954;04/01/2024;SKU003;OUT-020;3;135000;GT;Cash;25000
TRX1002303;04/01/2024;SKU040;OUT-017;4;275000;GT;Cash;25000
TRX1000156;04/01/2024;SKU003;OUT-004;2;105000;GT;QRIS;25000
TRX1000862;04/01/2024;SKU044;OUT-016;3;105000;MT;Credit Card;75000
TRX1002586;04/01/2024;SKU042;OUT-018;5;165000;GT;Cash;45000
TRX1000578;04/01/2024;SKU010;OUT-005;3;225000;GT;Cash;55000
TRX1004039;04/01/2024;SKU030;OUT-001;4;75000;GT;QRIS;75000
TRX1001972;04/01/2024;SKU002;OUT-002;6;250000;MT;QRIS;75000
TRX1000341;04/01/2024;SKU007;OUT-019;1;225000;GT;QRIS;125000
TRX1000475;04/01/2024;SKU012;OUT-011;1;180000;GT;Cash;45000
TRX1000072;04/01/2024;SKU010;OUT-014;5;225000;gt;Cash;35000
TRX1002737;04/01/2024;SKU035;OUT-002;4;225000;GT;QRIS;25000
TRX1001057;04/01/2024;SKU026;OUT-008;4;150000;GT;QRIS;35000
TRX1003912;04/01/2024;SKU032;OUT-001;9;275000;MT;Credit Card;35000
TRX1000540;04/01/2024;SKU021;OUT-003;4;300000;MT;Cash;55000
TRX1003481;04/01/2024;SKU017;OUT-024;2;55000;MT;Cash;55000
TRX1001027;04/01/2024;SKU008;OUT-014;2;55000;GT;Cash;55000
TRX1001300;04/01/2024;SKU034;OUT-022;3;105000;MT;QRIS;125000
TRX1002789;04/01/2024;SKU021;OUT-013;2;500000;GT;QRIS;35000
TRX1000491;04/01/2024;SKU041;OUT-003;8;45000;MT;QRIS;75000
TRX1002373;04/01/2024;SKU012;OUT-013;2;70000;GT;QRIS;35000
TRX1003164;04/01/2024;SKU028;OUT-022;6;300000;MT;Credit Card;35000
TRX1002421;04/01/2024;SKU002;OUT-024;7;275000;MT;Credit Card;45000
TRX1001406;04/01/2024;SKU022;OUT-018;1;135000;GT;QRIS;45000
TRX1002365;04/01/2024;SKU006;OUT-024;3;135000;GT;Cash;25000
TRX1000988;04/01/2024;SKU035;OUT-006;1;135000;GT;QRIS;35000
TRX1001959;04/01/2024;SKU026;OUT-001;4;75000;GT;QRIS;45000
TRX1002062;04/01/2024;SKU042;OUT-011;2;135000;MT;Credit Card;125000
TRX1001217;04/01/2024;SKU028;OUT-020;5;135000;GT;QRIS;125000
TRX1000923;04/01/2024;SKU018;OUT-015;5;50000;GT;QRIS;125000
TRX1003091;04/01/2024;SKU021;OUT-019;6;100000;MT;Credit Card;25000
TRX1003446;04/01/2024;SKU009;OUT-002;7;300000;MT;QRIS;55000
TRX1003245;05/01/2024;SKU015;OUT-009;5;125000;GT;QRIS;75000
TRX1002978;05/01/2024;SKU042;OUT-016;9;140000;MT;Cash;35000
TRX1003205;05/01/2024;SKU043;OUT-023;4;75000;GT;Cash;125000
TRX1002965;05/01/2024;SKU041;OUT-005;10;375000;MT;Cash;125000
TRX1000471;05/01/2024;SKU015;OUT-020;2;175000;GT;Cash;45000
TRX1001698;05/01/2024;SKU023;OUT-020;1;90000;MT;Credit Card;75000
TRX1001295;05/01/2024;SKU004;OUT-023;11;375000;MT;Cash;45000
TRX1001858;05/01/2024;SKU012;OUT-003;2;375000;GT;QRIS;55000
TRX1001318;05/01/2024;SKU011;OUT-011;9;125000;MT;Cash;75000
TRX1000890;05/01/2024;SKU030;OUT-024;2;90000;MT;QRIS;125000
TRX1000285;05/01/2024;SKU036;OUT-019;5;375000;MT;QRIS;35000
TRX1001652;05/01/2024;SKU015;OUT-024;2;220000;MT;Debit;25000
TRX1000560;05/01/2024;SKU039;OUT-024;3;625000;GT;Cash;45000
TRX1000495;05/01/2024;SKU001;OUT-014;5;150000;MT;Credit Card;35000
TRX1002439;05/01/2024;SKU017;OUT-012;3;35000;GT;Cash;45000
TRX1003075;05/01/2024;SKU025;OUT-016;1;70000;MT;QRIS;45000
TRX1003387;05/01/2024;SKU035;OUT-013;9;70000;MT;Credit Card;125000
TRX1001876;05/01/2024;SKU016;OUT-008;2;50000;GT;Cash;75000
TRX1001590;05/01/2024;SKU015;OUT-025;10;225000;MT;Credit Card;35000
TRX1000263;05/01/2024;SKU043;OUT-006;1;500000;GT;QRIS;75000
TRX1003722;05/01/2024;SKU002;OUT-023;2;75000;GT;QRIS;35000
TRX1002540;05/01/2024;SKU022;OUT-013;7;75000;MT;Cash;35000
TRX1001390;05/01/2024;SKU002;OUT-010;11;175000;MT;Credit Card;25000
TRX1000624;05/01/2024;SKU004;OUT-011;10;625000;MT;Credit Card;55000
TRX1002115;05/01/2024;SKU016;OUT-014;10;125000;MT;Debit;55000
TRX1002289;05/01/2024;SKU002;OUT-024;8;105000;MT;Cash;45000
TRX1001467;05/01/2024;SKU012;OUT-002;1;625000;GT;Cash;45000
TRX1002600;05/01/2024;SKU028;OUT-018;5;165000;GT;Cash;125000
TRX1001162;05/01/2024;SKU028;OUT-020;4;250000;GT;Cash;125000
TRX1000099;05/01/2024;SKU031;OUT-007;4;250000;MT;Cash;35000
TRX1002943;05/01/2024;SKU017;OUT-012;1;275000;GT;QRIS;45000
TRX1000582;05/01/2024;SKU002;OUT-017;1;250000;MT;QRIS;45000
TRX1002786;05/01/2024;SKU040;OUT-018;11;135000;MT;Debit;25000
TRX1001437;05/01/2024;SKU009;OUT-003;2;625000;GT;QRIS;35000
TRX1001519;05/01/2024;SKU043;OUT-005;6;75000;MT;Credit Card;55000
TRX1002729;05/01/2024;SKU028;OUT-007;6;625000;MT;Debit;35000
TRX1001124;05/01/2024;SKU045;OUT-023;2;250000;GT;Cash;25000
TRX1004037;05/01/2024;SKU028;OUT-012;7;500000;MT;Debit;25000
TRX1000733;05/01/2024;SKU019;OUT-018;10;300000;MT;Credit Card;125000
TRX1002109;05/01/2024;SKU001;OUT-024;1;135000;GT;QRIS;25000
TRX1004034;05/01/2024;SKU010;OUT-023;5;45000;GT;Cash;55000
TRX1001051;06/01/2024;SKU005;OUT-016;10;70000;MT;Debit;125000
TRX1000422;06/01/2024;SKU045;OUT-019;2;500000;GT;QRIS;75000
TRX1003575;06/01/2024;SKU042;OUT-003;1;225000;GT;Cash;25000
TRX1002861;06/01/2024;SKU028;OUT-016;4;35000;GT;Cash;125000
TRX1003282;06/01/2024;SKU009;OUT-009;10;100000;MT;Debit;75000
TRX1001722;06/01/2024;SKU001;OUT-024;6;110000;MT;Cash;25000
TRX1001956;06/01/2024;SKU043;OUT-014;2;275000;MT;QRIS;35000
TRX1003163;06/01/2024;SKU030;OUT-022;8;180000;MT;Cash;25000
TRX1002068;06/01/2024;SKU042;OUT-023;3;45000;GT;Cash;45000
TRX1000514;06/01/2024;SKU032;OUT-001;4;175000;GT;QRIS;35000
TRX1001632;06/01/2024;SKU035;OUT-011;3;220000;MT;Cash;55000
TRX1003109;06/01/2024;SKU027;OUT-025;4;45000;MT;Debit;55000
TRX1001484;06/01/2024;SKU004;OUT-012;11;625000;MT;QRIS;55000
TRX1000085;06/01/2024;SKU045;OUT-013;6;180000;MT;Debit;55000
TRX1003449;06/01/2024;SKU020;OUT-017;5;50000;MT;QRIS;55000
TRX1003898;06/01/2024;SKU021;OUT-004;3;150000;MT;QRIS;75000
TRX1001859;06/01/2024;SKU042;OUT-010;1;165000;GT;QRIS;75000
TRX1003964;06/01/2024;SKU021;OUT-015;2;625000;MT;QRIS;25000
TRX1000442;06/01/2024;SKU043;OUT-017;3;220000;GT;Cash;35000
TRX1003489;06/01/2024;SKU011;OUT-004;6;135000;MT;QRIS;125000
TRX1000700;06/01/2024;SKU029;OUT-004;8;375000;MT;QRIS;75000
TRX1002801;06/01/2024;SKU020;OUT-002;6;90000;MT;Credit Card;55000
TRX1000133;06/01/2024;SKU017;OUT-025;2;165000;GT;Cash;35000
TRX1002253;06/01/2024;SKU014;OUT-010;4;110000;GT;Cash;45000
TRX1002112;06/01/2024;SKU044;OUT-003;2;105000;GT;QRIS;25000
TRX1001073;06/01/2024;SKU015;OUT-005;2;375000;MT;Debit;35000
TRX1001534;06/01/2024;SKU017;OUT-014;5;625000;GT;QRIS;35000
TRX1003121;06/01/2024;SKU002;OUT-019;1;225000;GT;QRIS;25000
TRX1003266;06/01/2024;SKU032;OUT-012;7;125000;MT;Cash;125000
TRX1000461;06/01/2024;SKU032;OUT-025;1;140000;MT;QRIS;125000
TRX1002947;06/01/2024;SKU036;OUT-021;2;225000;GT;QRIS;75000
TRX1003750;06/01/2024;SKU034;OUT-016;2;150000;GT;QRIS;55000
TRX1002232;06/01/2024;SKU035;OUT-022;1;175000;GT;Cash;35000
TRX1000552;06/01/2024;SKU019;OUT-002;1;35000;MT;Credit Card;75000
TRX1004032;06/01/2024;SKU037;OUT-001;4;375000;GT;QRIS;55000
TRX1002997;06/01/2024;SKU031;OUT-012;4;55000;MT;Debit;25000
TRX1004005;06/01/2024;SKU011;OUT-013;8;110000;MT;QRIS;125000
TRX1003634;06/01/2024;SKU012;OUT-006;2;250000;GT;QRIS;55000
TRX1000153;06/01/2024;SKU042;OUT-022;4;100000;GT;QRIS;45000
TRX1000956;06/01/2024;SKU004;OUT-014;9;165000;MT;Debit;45000
TRX1000349;06/01/2024;SKU039;OUT-006;11;25000;MT;QRIS;55000
TRX1003681;06/01/2024;SKU022;OUT-024;5;140000;MT;Cash;45000
TRX1004027;06/01/2024;SKU038;OUT-018;11;180000;MT;Debit;55000
TRX1001915;06/01/2024;SKU026;OUT-015;7;125000;MT;QRIS;45000
TRX1002579;06/01/2024;SKU039;OUT-003;4;180000;MT;Credit Card;55000
TRX1003018;06/01/2024;SKU003;OUT-017;1;110000;MT;Debit;35000
TRX1003616;06/01/2024;SKU038;OUT-020;5;140000;GT;Cash;45000
TRX1000629;06/01/2024;SKU036;OUT-001;2;375000;GT;QRIS;75000
TRX1003991;06/01/2024;SKU019;OUT-008;5;100000;MT;QRIS;35000
TRX1002576;06/01/2024;SKU026;OUT-012;10;625000;MT;Cash;25000
TRX1000921;06/01/2024;SKU004;OUT-014;4;375000;GT;QRIS;45000
TRX1004004;06/01/2024;SKU043;OUT-004;2;220000;MT;Cash;45000
TRX1002950;07/01/2024;SKU011;OUT-014;1;35000;GT;QRIS;125000
TRX1002671;07/01/2024;SKU029;OUT-014;3;50000;GT;QRIS;45000
TRX1000963;07/01/2024;SKU019;OUT-018;3;250000;MT;Cash;125000
TRX1000596;07/01/2024;SKU033;OUT-017;5;110000;MT;Credit Card;35000
TRX1002901;07/01/2024;SKU011;OUT-004;8;55000;MT;QRIS;125000
TRX1000970;07/01/2024;SKU011;OUT-018;3;250000;MT;QRIS;125000
TRX1003923;07/01/2024;SKU044;OUT-002;1;375000;MT;Debit;125000
TRX1000068;07/01/2024;SKU031;OUT-001;5;135000;General Trade;QRIS;45000
TRX1001578;07/01/2024;SKU033;OUT-008;5;55000;MT;Cash;35000
TRX1000049;07/01/2024;SKU034;OUT-013;2;625000;GT;Cash;125000
TRX1000832;07/01/2024;SKU017;OUT-003;5;175000;MT;Debit;75000
TRX1000576;07/01/2024;SKU035;OUT-006;7;150000;MT;Credit Card;35000
TRX1000375;07/01/2024;SKU042;OUT-016;6;75000;MT;Cash;35000
TRX1002026;07/01/2024;SKU001;OUT-019;5;25000;MT;QRIS;35000
TRX1002418;07/01/2024;SKU005;OUT-019;8;140000;MT;Cash;125000
TRX1002357;07/01/2024;SKU030;OUT-020;1;625000;MT;Credit Card;45000
TRX1002972;07/01/2024;SKU013;OUT-002;4;175000;MT;Debit;75000
TRX1000184;07/01/2024;SKU031;OUT-025;3;45000;GT;Cash;25000
TRX1001225;07/01/2024;SKU002;OUT-002;4;100000;GT;Cash;75000
TRX1001951;07/01/2024;SKU030;OUT-022;3;75000;GT;QRIS;25000
TRX1002907;07/01/2024;SKU011;OUT-008;2;100000;GT;QRIS;125000
TRX1000413;07/01/2024;SKU032;OUT-018;1;375000;MT;Credit Card;35000
TRX1000125;07/01/2024;SKU002;OUT-019;3;125000;GT;Cash;25000
TRX1001600;07/01/2024;SKU025;OUT-019;11;150000;MT;Debit;55000
TRX1000401;07/01/2024;SKU032;OUT-021;5;165000;GT;QRIS;25000
TRX1002134;07/01/2024;SKU018;OUT-020;3;70000;MT;Credit Card;75000
TRX1002604;07/01/2024;SKU035;OUT-002;5;180000;GT;QRIS;25000
TRX1003558;07/01/2024;SKU041;OUT-002;2;500000;GT;Cash;125000
TRX1003767;07/01/2024;SKU034;OUT-012;3;25000;MT;Debit;75000
TRX1000844;07/01/2024;SKU028;OUT-006;3;180000;GT;Cash;35000
TRX1002523;07/01/2024;SKU032;OUT-004;1;75000;MT;Credit Card;45000
TRX1003227;07/01/2024;SKU006;OUT-020;2;90000;GT;QRIS;75000
TRX1001468;07/01/2024;SKU014;OUT-015;5;125000;GT;Cash;45000
TRX1002354;07/01/2024;SKU024;OUT-023;2;300000;GT;Cash;45000
TRX1003323;07/01/2024;SKU037;OUT-018;3;50000;GT;Cash;55000
TRX1001180;07/01/2024;SKU041;OUT-004;3;75000;GT;QRIS;75000
TRX1000922;07/01/2024;SKU013;OUT-011;4;225000;GT;QRIS;25000
TRX1003327;07/01/2024;SKU045;OUT-018;4;375000;GT;QRIS;25000
TRX1000011;07/01/2024;SKU035;OUT-024;5;125000;MT;Cash;125000
TRX1002599;08/01/2024;SKU021;OUT-014;7;125000;MT;Credit Card;125000
TRX1002626;08/01/2024;SKU003;OUT-019;10;250000;MT;Cash;55000
TRX1000056;08/01/2024;SKU015;OUT-020;2;220000;MT;Cash;45000
TRX1002700;08/01/2024;SKU037;OUT-010;3;100000;GT;Cash;25000
TRX1001745;08/01/2024;SKU042;OUT-017;6;250000;MT;Credit Card;125000
TRX1000313;08/01/2024;SKU014;OUT-011;5;125000;GT;QRIS;45000
TRX1001064;08/01/2024;SKU001;OUT-005;3;175000;MT;Cash;125000
TRX1001717;08/01/2024;SKU035;OUT-010;2;50000;GT;QRIS;35000
TRX1002032;08/01/2024;SKU001;OUT-011;1;90000;GT;QRIS;45000
TRX1001838;08/01/2024;SKU031;OUT-016;6;90000;MT;QRIS;75000
TRX1002646;08/01/2024;SKU042;OUT-004;4;125000;MT;Debit;25000
TRX1003895;08/01/2024;SKU044;OUT-018;5;250000;MT;Credit Card;25000
TRX1000057;08/01/2024;SKU028;OUT-020;7;625000;MT;Cash;125000
TRX1003050;08/01/2024;SKU030;OUT-018;8;55000;MT;QRIS;25000
TRX1001694;08/01/2024;SKU043;OUT-008;5;125000;GT;Cash;75000
TRX1001357;08/01/2024;SKU029;OUT-020;7;375000;MT;QRIS;75000
TRX1003032;08/01/2024;SKU045;OUT-016;1;500000;MT;Cash;45000
TRX1003638;08/01/2024;SKU035;OUT-023;8;220000;MT;QRIS;45000
TRX1000551;08/01/2024;SKU032;OUT-024;8;225000;MT;Cash;35000
TRX1003641;08/01/2024;SKU014;OUT-004;3;110000;MT;QRIS;25000
TRX1000617;08/01/2024;SKU031;OUT-020;9;135000;MT;QRIS;125000
TRX1001882;08/01/2024;SKU017;OUT-025;3;110000;GT;QRIS;35000
TRX1003007;08/01/2024;SKU026;OUT-001;2;175000;GT;QRIS;45000
TRX1003660;08/01/2024;SKU013;OUT-023;3;500000;MT;Cash;45000
TRX1000961;08/01/2024;SKU044;OUT-003;2;250000;GT;Cash;25000
TRX1000568;08/01/2024;SKU014;OUT-001;7;45000;MT;Credit Card;125000
TRX1002984;08/01/2024;SKU009;OUT-024;1;75000;GT;QRIS;45000
TRX1002983;08/01/2024;SKU007;OUT-007;3;140000;GT;Cash;125000
TRX1002123;08/01/2024;SKU015;OUT-008;10;70000;MT;QRIS;35000
TRX1000579;08/01/2024;SKU020;OUT-022;4;50000;GT;Cash;75000
TRX1000583;08/01/2024;SKU001;OUT-025;9;175000;MT;Debit;45000
TRX1003651;08/01/2024;SKU004;OUT-001;4;75000;GT;QRIS;125000
TRX1001178;08/01/2024;SKU030;OUT-001;6;90000;MT;Cash;75000
TRX1003607;08/01/2024;SKU014;OUT-014;3;45000;GT;QRIS;75000
TRX1000807;08/01/2024;SKU008;OUT-023;5;300000;GT;Cash;45000
TRX1003136;08/01/2024;SKU026;OUT-025;2;175000;GT;QRIS;25000
TRX1002765;08/01/2024;SKU040;OUT-015;6;220000;MT;Credit Card;25000
TRX1003498;08/01/2024;SKU045;OUT-017;3;35000;GT;QRIS;75000
TRX1003834;08/01/2024;SKU027;OUT-002;2;140000;GT;QRIS;25000
TRX1002799;08/01/2024;SKU037;OUT-008;4;140000;GT;Cash;55000
TRX1000065;08/01/2024;SKU017;OUT-004;2;75000;GT;Cash;35000
TRX1000120;08/01/2024;SKU028;OUT-006;7;50000;MT;Debit;35000
TRX1003485;08/01/2024;SKU033;OUT-017;9;55000;MT;QRIS;35000
