trx_id,trx_date,sku_id,qty_sold,net_sales,product_price,payment_method,channel,outlet_id
TRX1000035,11/03/2024,SKU016,3,165000,55000,Cash,GT,OUT-005
TRX1000036,18/03/2024,SKU027,4,500000,125000,QRIS,GT,OUT-016
TRX1000037,19/03/2024,SKU027,1,25000,25000,QRIS,GT,OUT-024
TRX1000038,03/03/2024,SKU044,2,50000,25000,Cash,gt,OUT-022
TRX1000039,27/02/2024,SKU003,2,250000,125000,Cash,mt,OUT-006
TRX1000040,15/03/2024,SKU024,3,75000,25000,Cash,mt,OUT-005
TRX1000041,07/02/2024,SKU020,5,625000,125000,Cash,mt,OUT-003
TRX1000042,02/01/2024,SKU042,5,125000,25000,Cash,GT,OUT-010
TRX1000043,28/02/2024,SKU033,3,225000,75000,QRIS,GT,OUT-001
TRX1000044,11/02/2024,SKU023,2,110000,55000,QRIS,GT,OUT-020
TRX1000045,14/01/2024,SKU002,2,250000,125000,Cash,General Trade,OUT-019
TRX1000046,21/02/2024,SKU031,5,625000,125000,Debit,mt,OUT-017
TRX1000047,21/01/2024,SKU010,5,175000,35000,Debit,MT,OUT-021
TRX1000048,31/03/2024,SKU032,4,300000,75000,Debit,MT,OUT-010
TRX1000049,07/01/2024,SKU034,5,625000,125000,Cash,GT,OUT-013
TRX1000050,26/01/2024,SKU038,3,165000,55000,Cash,GT,OUT-008
TRX1000051,12/03/2024,SKU003,2,50000,25000,Debit,MT,OUT-022
TRX1000052,30/01/2024,SKU002,1,35000,35000,Cash,gt,OUT-001
TRX1000053,09/02/2024,SKU012,5,125000,25000,Debit,MT,OUT-002
TRX1000054,26/01/2024,SKU021,5,125000,25000,Debit,MT,OUT-023
TRX1000055,23/01/2024,SKU009,1,45000,45000,QRIS,gt,OUT-025
TRX1000056,08/01/2024,SKU015,4,220000,55000,Cash,MT,OUT-020
TRX1000057,08/01/2024,SKU028,5,625000,125000,Cash,MT,OUT-020
TRX1000058,10/01/2024,SKU035,2,90000,45000,QRIS,MT,OUT-008
TRX1000059,04/02/2024,SKU028,3,375000,125000,QRIS,mdrn tradee,OUT-025
TRX1000060,30/01/2024,SKU035,1,25000,25000,Debit,MT,OUT-014
TRX1000061,19/01/2024,SKU031,3,135000,45000,QRIS,mdrn tradee,OUT-021
TRX1000062,26/02/2024,SKU043,2,70000,35000,Credit Card,MT,OUT-022
TRX1000063,17/01/2024,SKU036,1,125000,125000,Cash,gt,OUT-015
TRX1000064,28/02/2024,SKU043,4,500000,125000,Cash,GT,OUT-018
TRX1000065,08/01/2024,SKU017,1,75000,75000,Cash,GT,OUT-004
TRX1000066,21/02/2024,SKU034,4,500000,125000,Credit Card,MT,OUT-019
TRX1000067,01/03/2024,SKU030,2,110000,55000,Cash,GT,OUT-010
TRX1000068,07/01/2024,SKU031,3,135000,45000,QRIS,General Trade,OUT-001
TRX1000069,29/01/2024,SKU030,2,70000,35000,Debit,MT,OUT-024
TRX1000070,22/03/2024,SKU044,2,50000,25000,Cash,gt,OUT-019
TRX1000071,31/01/2024,SKU035,5,625000,125000,QRIS,gt,OUT-019
TRX1000072,04/01/2024,SKU010,5,225000,45000,Cash,gt,OUT-014
TRX1000073,02/03/2024,SKU006,5,275000,55000,Cash,MT,OUT-002
TRX1000074,13/01/2024,SKU014,2,50000,25000,Cash,gt,OUT-004
TRX1000075,28/01/2024,SKU009,3,105000,35000,Cash,gt,OUT-005
TRX1000076,31/03/2024,SKU011,2,90000,45000,Cash,GT,OUT-005
TRX1000077,17/01/2024,SKU043,5,275000,55000,QRIS,MT,OUT-021
TRX1000078,28/02/2024,SKU025,1,125000,125000,Cash,GT,OUT-015
TRX1000079,14/03/2024,SKU017,3,165000,55000,QRIS,GT,OUT-008
TRX1000080,19/02/2024,SKU033,3,75000,25000,QRIS,GT,OUT-023
TRX1000081,09/02/2024,SKU044,3,105000,35000,Debit,MT,OUT-011
TRX1000082,16/02/2024,SKU010,1,55000,55000,Credit Card,MT,OUT-021
TRX1000083,06/03/2024,SKU022,5,275000,55000,QRIS,GT,OUT-022
TRX1000084,13/01/2024,SKU040,4,500000,125000,Cash,GT,OUT-006
TRX1000085,06/01/2024,SKU045,4,180000,45000,Debit,MT,OUT-013
TRX1000086,14/02/2024,SKU044,1,125000,125000,QRIS,MT,OUT-021
TRX1000087,02/02/2024,SKU014,4,180000,45000,Credit Card,MT,OUT-017
TRX1000088,12/02/2024,SKU041,4,220000,55000,QRIS,GT,OUT-023
TRX1000089,30/01/2024,SKU040,2,90000,45000,Credit Card,MT,OUT-020
TRX1000090,11/03/2024,SKU013,1,25000,25000,Cash,GT,OUT-012
TRX1000091,29/03/2024,SKU007,1,75000,75000,QRIS,GT,OUT-014
TRX1000092,14/03/2024,SKU028,2,150000,75000,Cash,GT,OUT-016
TRX1000093,19/02/2024,SKU003,1,55000,55000,Credit Card,MT,OUT-001
TRX1000094,22/03/2024,SKU039,4,140000,35000,Debit,MT,OUT-005
TRX1000095,20/02/2024,SKU025,5,225000,45000,QRIS,GT,OUT-020
TRX1000096,11/03/2024,SKU027,1,55000,55000,Cash,General Trade,OUT-001
TRX1000097,26/02/2024,SKU042,2,70000,35000,Cash,General Trade,OUT-002
TRX1000098,14/02/2024,SKU002,2,150000,75000,QRIS,MT,OUT-005
TRX1000099,05/01/2024,SKU031,2,250000,125000,Cash,MT,OUT-007
TRX1000100,23/02/2024,SKU033,2,150000,75000,QRIS,General Trade,OUT-018
TRX1000101,09/02/2024,SKU024,2,110000,55000,Cash,MT,OUT-001
TRX1000102,29/01/2024,SKU030,2,250000,125000,Cash,MT,OUT-004
TRX1000103,27/01/2024,SKU038,3,375000,125000,QRIS,MT,OUT-016
TRX1000104,11/02/2024,SKU040,3,105000,35000,QRIS,MT,OUT-010
TRX1000105,22/01/2024,SKU018,3,105000,35000,Cash,General Trade,OUT-001
TRX1000106,09/02/2024,SKU041,5,125000,25000,Debit,MT,OUT-024
TRX1000107,22/02/2024,SKU028,4,140000,35000,QRIS,General Trade,OUT-019
TRX1000108,28/03/2024,SKU039,1,25000,25000,Cash,General Trade,OUT-002
TRX1000109,11/01/2024,SKU020,2,50000,25000,QRIS,GT,OUT-022
TRX1000110,29/01/2024,SKU015,3,105000,35000,QRIS,GT,OUT-002
TRX1000111,25/03/2024,SKU030,3,225000,75000,Cash,GT,OUT-013
TRX1000112,29/03/2024,SKU012,2,150000,75000,Debit,MT,OUT-020
TRX1000113,25/03/2024,SKU010,3,105000,35000,Debit,MT,OUT-024
TRX1000114,19/03/2024,SKU032,2,90000,45000,Cash,GT,OUT-002
TRX1000115,14/02/2024,SKU032,1,75000,75000,Cash,GT,OUT-012
TRX1000116,16/03/2024,SKU035,4,500000,125000,Credit Card,MT,OUT-001
TRX1000117,10/02/2024,SKU026,5,375000,75000,QRIS,GT,OUT-001
TRX1000118,23/01/2024,SKU016,3,135000,45000,Cash,MT,OUT-017
TRX1000119,29/03/2024,SKU026,2,70000,35000,QRIS,GT,OUT-008
TRX1000120,08/01/2024,SKU028,2,50000,25000,Debit,MT,OUT-006
TRX1000121,14/01/2024,SKU037,5,225000,45000,QRIS,GT,OUT-015
TRX1000122,12/02/2024,SKU043,1,75000,75000,Cash,MT,OUT-025
TRX1000123,26/01/2024,SKU005,5,175000,35000,QRIS,GT,OUT-019
TRX1000124,12/03/2024,SKU005,3,375000,125000,Cash,MT,OUT-002
TRX1000125,07/01/2024,SKU002,5,125000,25000,Cash,GT,OUT-019
TRX1000126,27/03/2024,SKU002,5,375000,75000,QRIS,GT,OUT-014
TRX1000127,29/01/2024,SKU029,1,45000,45000,Credit Card,MT,OUT-015
TRX1000128,29/02/2024,SKU036,1,35000,35000,QRIS,GT,OUT-022
TRX1000129,10/01/2024,SKU029,4,300000,75000,QRIS,GT,OUT-025
TRX1000130,02/03/2024,SKU020,5,625000,125000,QRIS,MT,OUT-025
TRX1000131,03/01/2024,SKU001,1,25000,25000,Cash,GT,OUT-025
TRX1000132,20/02/2024,SKU040,1,25000,25000,Debit,MT,OUT-018
TRX1000133,06/01/2024,SKU017,3,165000,55000,Cash,GT,OUT-025
TRX1000134,23/03/2024,SKU012,4,220000,55000,QRIS,GT,OUT-003
TRX1000135,01/01/2024,SKU040,5,625000,125000,QRIS,GT,OUT-010
TRX1000136,01/03/2024,SKU001,5,125000,25000,Cash,GT,OUT-012
TRX1000137,13/01/2024,SKU007,4,100000,25000,QRIS,GT,OUT-022
TRX1000138,17/01/2024,SKU042,5,125000,25000,Debit,MT,OUT-003
TRX1000139,10/01/2024,SKU008,3,225000,75000,Debit,MT,OUT-022
TRX1000140,20/01/2024,SKU039,5,625000,125000,Cash,MT,OUT-014
TRX1000141,01/02/2024,SKU041,2,110000,55000,Credit Card,MT,OUT-018
TRX1000142,24/01/2024,SKU031,1,75000,75000,QRIS,GT,OUT-019
TRX1000143,23/01/2024,SKU004,5,125000,25000,Cash,GT,OUT-025
TRX1000144,10/01/2024,SKU021,2,90000,45000,Cash,GT,OUT-003
TRX1000145,14/03/2024,SKU043,2,70000,35000,Debit,MT,OUT-017
TRX1000146,25/01/2024,SKU009,4,180000,45000,Credit Card,MT,OUT-021
TRX1000147,10/02/2024,SKU003,2,50000,25000,QRIS,GT,OUT-005
TRX1000148,30/03/2024,SKU041,3,225000,75000,Credit Card,MT,OUT-004
TRX1000149,09/02/2024,SKU018,5,125000,25000,Cash,GT,OUT-022
TRX1000150,04/02/2024,SKU016,4,220000,55000,QRIS,GT,OUT-016
TRX1000151,17/03/2024,SKU022,5,125000,25000,Debit,MT,OUT-003
TRX1000152,18/01/2024,SKU019,4,100000,25000,QRIS,MT,OUT-011
TRX1000153,06/01/2024,SKU042,4,100000,25000,QRIS,GT,OUT-022
TRX1000154,14/01/2024,SKU020,3,105000,35000,Cash,MT,OUT-022
TRX1000155,17/01/2024,SKU036,4,180000,45000,QRIS,GT,OUT-015
TRX1000156,04/01/2024,SKU003,3,105000,35000,QRIS,GT,OUT-004
TRX1000157,07/02/2024,SKU045,2,150000,75000,Cash,GT,OUT-008
TRX1000158,02/02/2024,SKU027,1,45000,45000,Cash,GT,OUT-016
TRX1000159,08/02/2024,SKU033,3,105000,35000,Cash,MT,OUT-019
TRX1000160,24/02/2024,SKU004,4,500000,125000,QRIS,GT,OUT-004
TRX1000161,12/03/2024,SKU039,2,110000,55000,QRIS,GT,OUT-007
TRX1000162,30/03/2024,SKU011,2,250000,125000,QRIS,MT,OUT-022
TRX1000163,12/03/2024,SKU017,2,110000,55000,Cash,GT,OUT-014
TRX1000164,02/02/2024,SKU030,4,500000,125000,QRIS,GT,OUT-024
TRX1000165,30/01/2024,SKU021,3,165000,55000,Cash,GT,OUT-001
TRX1000166,07/03/2024,SKU005,5,125000,25000,QRIS,MT,OUT-015
TRX1000167,23/01/2024,SKU037,4,100000,25000,QRIS,GT,OUT-001
TRX1000168,09/01/2024,SKU005,5,125000,25000,QRIS,MT,OUT-022
TRX1000169,21/01/2024,SKU033,4,500000,125000,Cash,GT,OUT-024
TRX1000170,03/02/2024,SKU007,1,75000,75000,QRIS,GT,OUT-020
TRX1000171,20/01/2024,SKU006,5,625000,125000,Debit,MT,OUT-002
TRX1000172,09/02/2024,SKU012,2,70000,35000,QRIS,MT,OUT-021
TRX1000173,20/01/2024,SKU010,5,625000,125000,Cash,GT,OUT-018
TRX1000174,17/02/2024,SKU017,2,150000,75000,QRIS,GT,OUT-021
TRX1000175,19/02/2024,SKU038,5,175000,35000,Credit Card,MT,OUT-024
TRX1000176,26/02/2024,SKU036,3,225000,75000,Cash,GT,OUT-014
TRX1000177,07/02/2024,SKU024,1,45000,45000,QRIS,GT,OUT-013
TRX1000178,25/01/2024,SKU029,4,500000,125000,Credit Card,MT,OUT-025
TRX1000179,09/03/2024,SKU031,3,225000,75000,Cash,GT,OUT-017
TRX1000180,02/02/2024,SKU045,1,35000,35000,Cash,GT,OUT-011
TRX1000181,20/02/2024,SKU025,4,300000,75000,Cash,MT,OUT-014
TRX1000182,17/03/2024,SKU024,5,225000,45000,Cash,GT,OUT-004
TRX1000183,12/02/2024,SKU038,2,50000,25000,QRIS,MT,OUT-005
TRX1000184,07/01/2024,SKU031,1,45000,45000,Cash,GT,OUT-025
TRX1000185,13/01/2024,SKU041,2,70000,35000,Cash,MT,OUT-009
TRX1000186,29/02/2024,SKU042,5,275000,55000,Debit,MT,OUT-024
TRX1000187,27/03/2024,SKU002,4,500000,125000,Cash,GT,OUT-008
TRX1000188,14/02/2024,SKU015,2,150000,75000,QRIS,GT,OUT-025
TRX1000189,08/02/2024,SKU043,4,300000,75000,QRIS,MT,OUT-023
TRX1000190,26/01/2024,SKU041,3,75000,25000,Cash,GT,OUT-020
TRX1000191,18/02/2024,SKU037,2,50000,25000,Cash,GT,OUT-024
TRX1000192,24/02/2024,SKU039,5,375000,75000,Credit Card,MT,OUT-011
TRX1000193,02/01/2024,SKU021,4,100000,25000,Cash,MT,OUT-001
TRX1000194,13/01/2024,SKU016,4,140000,35000,QRIS,GT,OUT-006
TRX1000195,09/01/2024,SKU021,4,140000,35000,QRIS,MT,OUT-003
TRX1000196,24/03/2024,SKU044,5,225000,45000,Debit,MT,OUT-017
TRX1000197,19/01/2024,SKU020,3,105000,35000,QRIS,GT,OUT-005
TRX1000198,31/01/2024,SKU023,2,250000,125000,QRIS,GT,OUT-018
TRX1000199,11/03/2024,SKU034,1,25000,25000,Cash,GT,OUT-017
TRX1000200,27/02/2024,SKU034,3,375000,125000,Cash,GT,OUT-002
TRX1000201,15/02/2024,SKU023,2,70000,35000,Cash,GT,OUT-018
TRX1000202,08/02/2024,SKU009,5,275000,55000,QRIS,GT,OUT-024
TRX1000203,18/02/2024,SKU017,1,55000,55000,Cash,GT,OUT-019
TRX1000204,24/03/2024,SKU006,1,75000,75000,Cash,MT,OUT-020
TRX1000205,10/02/2024,SKU029,1,25000,25000,QRIS,GT,OUT-024
TRX1000206,03/02/2024,SKU035,1,75000,75000,QRIS,GT,OUT-009
TRX1000207,08/03/2024,SKU021,2,90000,45000,Cash,GT,OUT-016
TRX1000208,26/01/2024,SKU008,1,35000,35000,Cash,GT,OUT-023
TRX1000209,21/01/2024,SKU015,4,220000,55000,Cash,MT,OUT-024
TRX1000210,28/01/2024,SKU016,4,180000,45000,QRIS,GT,OUT-009
TRX1000211,22/02/2024,SKU023,1,55000,55000,Cash,GT,OUT-016
TRX1000212,12/03/2024,SKU035,1,35000,35000,QRIS,GT,OUT-010
TRX1000213,25/03/2024,SKU024,5,625000,125000,QRIS,GT,OUT-013
TRX1000214,02/03/2024,SKU013,2,90000,45000,QRIS,GT,OUT-002
TRX1000215,09/02/2024,SKU006,4,300000,75000,Credit Card,MT,OUT-011
TRX1000216,19/03/2024,SKU015,5,625000,125000,Cash,GT,OUT-010
TRX1000217,16/03/2024,SKU035,4,300000,75000,Credit Card,MT,OUT-016
TRX1000218,03/02/2024,SKU044,2,70000,35000,Cash,MT,OUT-014
TRX1000219,20/02/2024,SKU006,3,75000,25000,QRIS,GT,OUT-018
TRX1000220,17/02/2024,SKU007,4,140000,35000,Cash,GT,OUT-001
TRX1000221,31/03/2024,SKU038,1,35000,35000,QRIS,GT,OUT-021
TRX1000222,06/02/2024,SKU042,1,45000,45000,Debit,MT,OUT-008
TRX1000223,17/03/2024,SKU005,5,625000,125000,QRIS,MT,OUT-019
TRX1000224,23/01/2024,SKU004,3,225000,75000,Cash,GT,OUT-003
TRX1000225,20/02/2024,SKU020,1,25000,25000,QRIS,GT,OUT-018
TRX1000226,03/01/2024,SKU017,3,135000,45000,Debit,MT,OUT-022
TRX1000227,25/01/2024,SKU038,3,75000,25000,Credit Card,MT,OUT-023
TRX1000228,12/03/2024,SKU041,2,110000,55000,Cash,MT,OUT-010
TRX1000229,31/03/2024,SKU039,2,90000,45000,Credit Card,MT,OUT-010
TRX1000230,20/02/2024,SKU040,2,250000,125000,Credit Card,MT,OUT-016
TRX1000231,15/02/2024,SKU033,1,25000,25000,Cash,MT,OUT-015
TRX1000232,20/03/2024,SKU008,2,110000,55000,Cash,MT,OUT-004
TRX1000233,30/01/2024,SKU021,5,275000,55000,Cash,GT,OUT-001
TRX1000234,23/03/2024,SKU022,1,35000,35000,QRIS,GT,OUT-025
TRX1000235,26/01/2024,SKU034,3,165000,55000,QRIS,GT,OUT-018
TRX1000236,25/01/2024,SKU036,2,150000,75000,QRIS,GT,OUT-012
TRX1000237,05/03/2024,SKU018,4,140000,35000,Cash,GT,OUT-009
TRX1000238,10/02/2024,SKU042,3,75000,25000,Debit,MT,OUT-011
TRX1000239,04/03/2024,SKU015,3,75000,25000,Cash,GT,OUT-022
TRX1000240,24/01/2024,SKU013,3,375000,125000,Cash,GT,OUT-017
TRX1000241,17/01/2024,SKU039,4,180000,45000,QRIS,GT,OUT-019
TRX1000242,29/02/2024,SKU024,1,75000,75000,Debit,MT,OUT-012
TRX1000243,28/03/2024,SKU003,5,275000,55000,QRIS,GT,OUT-021
TRX1000244,11/02/2024,SKU020,5,225000,45000,QRIS,MT,OUT-012
TRX1000245,20/03/2024,SKU005,3,375000,125000,QRIS,GT,OUT-008
TRX1000246,20/01/2024,SKU040,2,250000,125000,QRIS,GT,OUT-020
TRX1000247,02/02/2024,SKU002,1,25000,25000,QRIS,GT,OUT-021
TRX1000248,03/03/2024,SKU008,2,70000,35000,QRIS,GT,OUT-017
TRX1000249,25/03/2024,SKU023,2,90000,45000,Debit,MT,OUT-024
TRX1000250,05/02/2024,SKU021,1,35000,35000,Cash,MT,OUT-011
TRX1000251,22/03/2024,SKU041,4,180000,45000,Cash,GT,OUT-009
TRX1000252,11/03/2024,SKU027,5,225000,45000,QRIS,GT,OUT-007
TRX1000253,01/02/2024,SKU017,5,175000,35000,Debit,MT,OUT-001
TRX1000254,27/01/2024,SKU018,1,25000,25000,QRIS,MT,OUT-005
TRX1000255,13/01/2024,SKU006,2,150000,75000,Cash,MT,OUT-002
TRX1000256,15/03/2024,SKU004,3,165000,55000,QRIS,GT,OUT-015
TRX1000257,24/01/2024,SKU034,4,180000,45000,QRIS,GT,OUT-004
TRX1000258,09/03/2024,SKU028,1,35000,35000,QRIS,GT,OUT-006
TRX1000259,16/03/2024,SKU030,5,625000,125000,QRIS,GT,OUT-007
TRX1000260,09/01/2024,SKU025,3,375000,125000,Credit Card,MT,OUT-024
TRX1000261,20/02/2024,SKU010,2,150000,75000,Debit,MT,OUT-025
TRX1000262,22/02/2024,SKU014,2,90000,45000,QRIS,MT,OUT-007
TRX1000263,05/01/2024,SKU043,4,500000,125000,QRIS,GT,OUT-006
TRX1000264,24/03/2024,SKU021,1,35000,35000,QRIS,MT,OUT-010
TRX1000265,09/03/2024,SKU017,3,225000,75000,Cash,GT,OUT-019
TRX1000266,14/03/2024,SKU035,2,90000,45000,Cash,GT,OUT-018
TRX1000267,02/02/2024,SKU038,3,135000,45000,Credit Card,MT,OUT-013
TRX1000268,24/03/2024,SKU018,4,220000,55000,Cash,GT,OUT-013
TRX1000269,23/03/2024,SKU044,4,180000,45000,QRIS,GT,OUT-008
TRX1000270,14/02/2024,SKU026,4,300000,75000,QRIS,MT,OUT-021
TRX1000271,09/03/2024,SKU009,5,625000,125000,QRIS,GT,OUT-008
TRX1000272,26/02/2024,SKU042,4,180000,45000,QRIS,GT,OUT-008
TRX1000273,23/01/2024,SKU007,1,45000,45000,QRIS,GT,OUT-014
TRX1000274,29/01/2024,SKU030,3,165000,55000,QRIS,GT,OUT-003
TRX1000275,11/01/2024,SKU041,5,375000,75000,Debit,MT,OUT-011
TRX1000276,10/01/2024,SKU030,2,50000,25000,QRIS,MT,OUT-023
TRX1000277,27/03/2024,SKU024,2,110000,55000,QRIS,GT,OUT-010
TRX1000278,09/01/2024,SKU031,5,375000,75000,Credit Card,MT,OUT-012
TRX1000279,07/02/2024,SKU045,3,75000,25000,Debit,MT,OUT-023
TRX1000280,17/02/2024,SKU013,2,70000,35000,QRIS,MT,OUT-014
TRX1000281,30/03/2024,SKU002,4,140000,35000,Cash,GT,OUT-023
TRX1000282,27/01/2024,SKU022,5,275000,55000,Credit Card,MT,OUT-018
TRX1000283,26/01/2024,SKU014,5,175000,35000,QRIS,GT,OUT-023
TRX1000284,29/01/2024,SKU042,4,500000,125000,Cash,GT,OUT-017
TRX1000285,05/01/2024,SKU036,5,375000,75000,QRIS,MT,OUT-019
TRX1000286,18/03/2024,SKU045,2,150000,75000,QRIS,GT,OUT-025
TRX1000287,19/03/2024,SKU028,1,45000,45000,Debit,MT,OUT-025
TRX1000288,12/01/2024,SKU030,5,225000,45000,Credit Card,MT,OUT-011
TRX1000289,15/02/2024,SKU030,3,75000,25000,QRIS,GT,OUT-024
TRX1000290,12/02/2024,SKU002,3,225000,75000,Cash,GT,OUT-021
TRX1000291,09/01/2024,SKU031,4,100000,25000,Cash,MT,OUT-016
TRX1000292,20/02/2024,SKU034,2,110000,55000,Cash,GT,OUT-025
TRX1000293,23/02/2024,SKU020,2,50000,25000,Cash,GT,OUT-007
TRX1000294,13/03/2024,SKU003,3,105000,35000,Cash,GT,OUT-017
TRX1000295,30/03/2024,SKU011,1,125000,125000,Cash,MT,OUT-005
TRX1000296,03/01/2024,SKU045,2,90000,45000,Debit,MT,OUT-009
TRX1000297,28/03/2024,SKU017,4,220000,55000,Cash,GT,OUT-015
TRX1000298,03/01/2024,SKU010,5,225000,45000,QRIS,MT,OUT-021
TRX1000299,21/02/2024,SKU026,5,625000,125000,Cash,GT,OUT-025
TRX1000300,13/01/2024,SKU037,2,250000,125000,QRIS,MT,OUT-015
TRX1000301,01/02/2024,SKU015,5,125000,25000,Cash,GT,OUT-007
TRX1000302,09/01/2024,SKU037,5,225000,45000,Cash,GT,OUT-006
TRX1000303,27/01/2024,SKU029,1,35000,35000,QRIS,GT,OUT-006
TRX1000304,08/03/2024,SKU024,2,110000,55000,Debit,MT,OUT-025
TRX1000305,23/02/2024,SKU028,1,35000,35000,QRIS,GT,OUT-019
TRX1000306,27/02/2024,SKU023,2,50000,25000,Cash,GT,OUT-013
TRX1000307,31/03/2024,SKU043,2,90000,45000,Cash,GT,OUT-002
TRX1000308,25/02/2024,SKU043,2,50000,25000,QRIS,GT,OUT-020
TRX1000309,05/03/2024,SKU005,1,75000,75000,QRIS,GT,OUT-010
TRX1000310,21/01/2024,SKU009,1,125000,125000,Cash,MT,OUT-009
TRX1000311,11/02/2024,SKU024,5,175000,35000,QRIS,GT,OUT-010
TRX1000312,08/02/2024,SKU020,1,75000,75000,QRIS,GT,OUT-025
TRX1000313,08/01/2024,SKU014,5,125000,25000,QRIS,GT,OUT-011
TRX1000314,14/03/2024,SKU002,4,100000,25000,Cash,GT,OUT-019
TRX1000315,02/01/2024,SKU025,3,75000,25000,Cash,MT,OUT-002
TRX1000316,26/03/2024,SKU035,1,125000,125000,Cash,MT,OUT-024
TRX1000317,01/03/2024,SKU029,4,100000,25000,QRIS,GT,OUT-018
TRX1000318,24/01/2024,SKU013,1,45000,45000,Cash,GT,OUT-017
TRX1000319,29/01/2024,SKU042,1,75000,75000,QRIS,GT,OUT-005
TRX1000320,15/02/2024,SKU011,5,175000,35000,Credit Card,MT,OUT-011
TRX1000321,21/03/2024,SKU045,5,375000,75000,Cash,GT,OUT-018
TRX1000322,24/02/2024,SKU043,3,135000,45000,QRIS,MT,OUT-006
TRX1000323,20/01/2024,SKU043,2,90000,45000,Cash,GT,OUT-024
TRX1000324,13/02/2024,SKU017,4,220000,55000,Cash,MT,OUT-001
TRX1000325,01/03/2024,SKU024,2,250000,125000,Cash,GT,OUT-020
TRX1000326,04/03/2024,SKU020,2,250000,125000,Cash,GT,OUT-009
TRX1000327,01/03/2024,SKU007,3,225000,75000,QRIS,GT,OUT-022
TRX1000328,08/03/2024,SKU006,3,75000,25000,QRIS,GT,OUT-025
TRX1000329,17/03/2024,SKU013,2,50000,25000,Cash,GT,OUT-004
TRX1000330,19/01/2024,SKU020,1,125000,125000,Credit Card,MT,OUT-015
TRX1000331,22/03/2024,SKU033,3,375000,125000,Cash,MT,OUT-024
TRX1000332,18/02/2024,SKU035,4,140000,35000,QRIS,MT,OUT-014
TRX1000333,29/02/2024,SKU006,5,175000,35000,Debit,MT,OUT-025
TRX1000334,13/02/2024,SKU045,4,140000,35000,Cash,MT,OUT-019
TRX1000335,28/01/2024,SKU027,3,375000,125000,QRIS,GT,OUT-018
TRX1000336,04/02/2024,SKU024,5,125000,25000,Cash,GT,OUT-019
TRX1000337,07/02/2024,SKU036,4,100000,25000,Cash,GT,OUT-016
TRX1000338,27/02/2024,SKU023,4,220000,55000,QRIS,GT,OUT-020
TRX1000339,08/03/2024,SKU043,3,225000,75000,Credit Card,MT,OUT-023
TRX1000340,30/01/2024,SKU027,4,500000,125000,Cash,GT,OUT-006
