snapshotDate;warehouse;sku_code;endingStock
02/01/2024;WH-SMG;SKU035;200
02/01/2024;WH-SMG;SKU036;500
02/01/2024;WH-SBY;SKU037;200
02/01/2024;WH-SBY;SKU038;350
02/01/2024;WH-JKT;SKU039;200
02/01/2024;WH-SMG;SKU040;50
02/01/2024;WH-SBY;SKU041;120
02/01/2024;WH-SMG;SKU042;350
02/01/2024;WH-SMG;SKU043;80
02/01/2024;WH-SBY;SKU044;50
02/01/2024;WH-SMG;SKU045;120
03/01/2024;WH-SBY;SKU001;120
03/01/2024;WH-JKT;SKU002;50
03/01/2024;WH-SMG;SKU003;80
03/01/2024;WH-SMG;SKU007;50
03/01/2024;WH-SMG;SKU008;350
03/01/2024;WH-JKT;SKU009;50
03/01/2024;WH-JKT;SKU004;
03/01/2024;WH-SBY;SKU005;500
03/01/2024;WH-JKT;SKU006;350
03/01/2024;WH-JKT;SKU010;80
03/01/2024;WH-SBY;SKU011;350
03/01/2024;WH-SMG;SKU012;350
03/01/2024;WH-JKT;SKU013;120
03/01/2024;WH-SMG;SKU014;80
03/01/2024;WH-SBY;SKU015;80
03/01/2024;WH-SBY;SKU016;80
03/01/2024;WH-SMG;SKU017;350
03/01/2024;WH-SMG;SKU018;500
03/01/2024;WH-SBY;SKU019;350
03/01/2024;WH-JKT;SKU020;
03/01/2024;WH-SMG;SKU021;200
03/01/2024;WH-SMG;SKU022;80
03/01/2024;WH-SMG;SKU023;50
03/01/2024;WH-JKT;SKU024;80
03/01/2024;WH-JKT;SKU025;80
03/01/2024;WH-SBY;SKU026;80
03/01/2024;WH-JKT;SKU027;120
03/01/2024;WH-SBY;SKU028;200
03/01/2024;WH-JKT;SKU029;120
03/01/2024;WH-SMG;SKU030;120
03/01/2024;WH-SMG;SKU031;350
03/01/2024;WH-JKT;SKU032;500
03/01/2024;WH-SBY;SKU033;50
03/01/2024;WH-SBY;SKU034;80
03/01/2024;WH-SBY;SKU035;200
03/01/2024;WH-JKT;SKU036;200
03/01/2024;WH-JKT;SKU037;350
03/01/2024;WH-JKT;SKU038;500
03/01/2024;WH-SBY;SKU039;350
03/01/2024;WH-JKT;SKU040;350
03/01/2024;WH-SBY;SKU041;350
03/01/2024;WH-JKT;SKU042;50
03/01/2024;WH-SBY;SKU043;120
03/01/2024;WH-SMG;SKU044;50
03/01/2024;WH-SMG;SKU045;80
04/01/2024;WH-JKT;SKU001;120
04/01/2024;WH-JKT;SKU002;350
04/01/2024;WH-SBY;SKU003;50
04/01/2024;WH-JKT;SKU007;500
04/01/2024;WH-SBY;SKU008;350
04/01/2024;WH-JKT;SKU009;350
04/01/2024;WH-SMG;SKU004;500
04/01/2024;WH-JKT;SKU005;120
04/01/2024;WH-SBY;SKU006;350
04/01/2024;WH-SBY;SKU010;200
04/01/2024;WH-SBY;SKU011;200
04/01/2024;WH-SBY;SKU012;50
04/01/2024;WH-SMG;SKU013;350
04/01/2024;WH-SBY;SKU014;200
04/01/2024;WH-SBY;SKU015;
04/01/2024;WH-SBY;SKU016;500
04/01/2024;WH-JKT;SKU017;120
04/01/2024;WH-SMG;SKU018;500
04/01/2024;WH-SBY;SKU019;350
04/01/2024;WH-JKT;SKU020;500
04/01/2024;WH-JKT;SKU021;80
04/01/2024;WH-JKT;SKU022;350
04/01/2024;WH-SMG;SKU023;50
04/01/2024;WH-SBY;SKU024;350
04/01/2024;WH-JKT;SKU025;50
04/01/2024;WH-JKT;SKU026;80
04/01/2024;WH-SMG;SKU027;200
04/01/2024;WH-SMG;SKU028;80
04/01/2024;WH-SBY;SKU029;80
04/01/2024;WH-SMG;SKU030;350
04/01/2024;WH-SMG;SKU031;200
04/01/2024;WH-JKT;SKU032;
04/01/2024;WH-JKT;SKU033;200
04/01/2024;WH-JKT;SKU034;50
04/01/2024;WH-SMG;SKU035;80
04/01/2024;WH-SMG;SKU036;350
04/01/2024;WH-JKT;SKU037;200
04/01/2024;WH-SBY;SKU038;50
04/01/2024;WH-SBY;SKU039;120
04/01/2024;WH-SMG;SKU040;50
04/01/2024;WH-SMG;SKU041;200
04/01/2024;WH-SMG;SKU042;350
04/01/2024;WH-JKT;SKU043;80
04/01/2024;WH-SMG;SKU044;80
04/01/2024;WH-SBY;SKU045;
05/01/2024;WH-SBY;SKU001;200
05/01/2024;WH-JKT;SKU002;50
05/01/2024;WH-SBY;SKU003;120
05/01/2024;WH-SMG;SKU007;80
05/01/2024;WH-JKT;SKU008;
05/01/2024;WH-SBY;SKU009;200
05/01/2024;WH-JKT;SKU004;350
05/01/2024;WH-SMG;SKU005;200
05/01/2024;WH-SMG;SKU006;200
05/01/2024;WH-SBY;SKU010;500
05/01/2024;WH-SMG;SKU011;350
05/01/2024;WH-SBY;SKU012;120
05/01/2024;WH-JKT;SKU013;350
05/01/2024;WH-JKT;SKU014;80
05/01/2024;WH-SBY;SKU015;120
05/01/2024;WH-SBY;SKU016;500
05/01/2024;WH-JKT;SKU017;
05/01/2024;WH-SMG;SKU018;500
05/01/2024;WH-JKT;SKU019;120
05/01/2024;WH-SBY;SKU020;80
05/01/2024;WH-SMG;SKU021;80
05/01/2024;WH-JKT;SKU022;50
05/01/2024;WH-SMG;SKU023;50
05/01/2024;WH-SMG;SKU024;350
05/01/2024;WH-SBY;SKU025;350
05/01/2024;WH-JKT;SKU026;50
05/01/2024;WH-SMG;SKU027;120
05/01/2024;WH-SMG;SKU028;200
05/01/2024;WH-JKT;SKU029;200
05/01/2024;WH-SMG;SKU030;120
05/01/2024;WH-SMG;SKU031;120
05/01/2024;WH-JKT;SKU032;
05/01/2024;WH-JKT;SKU033;500
05/01/2024;WH-JKT;SKU034;80
05/01/2024;WH-JKT;SKU035;200
05/01/2024;WH-SMG;SKU036;350
05/01/2024;WH-JKT;SKU037;200
05/01/2024;WH-SMG;SKU038;120
05/01/2024;WH-SBY;SKU039;120
05/01/2024;WH-SBY;SKU040;500
05/01/2024;WH-JKT;SKU041;350
05/01/2024;WH-SMG;SKU042;80
05/01/2024;WH-SMG;SKU043;120
05/01/2024;WH-JKT;SKU044;80
05/01/2024;WH-JKT;SKU045;200
06/01/2024;WH-SMG;SKU001;120
06/01/2024;WH-JKT;SKU002;80
06/01/2024;WH-SMG;SKU003;80
06/01/2024;WH-SMG;SKU007;50
06/01/2024;WH-SBY;SKU008;
06/01/2024;WH-SBY;SKU009;50
06/01/2024;WH-JKT;SKU004;120
06/01/2024;WH-SMG;SKU005;350
06/01/2024;WH-JKT;SKU006;500
06/01/2024;WH-JKT;SKU010;500
06/01/2024;WH-SMG;SKU011;50
06/01/2024;WH-SMG;SKU012;120
06/01/2024;WH-SBY;SKU013;80
06/01/2024;WH-JKT;SKU014;200
06/01/2024;WH-SBY;SKU015;350
06/01/2024;WH-SMG;SKU016;200
06/01/2024;WH-SMG;SKU017;350
06/01/2024;WH-SMG;SKU018;500
06/01/2024;WH-JKT;SKU019;80
06/01/2024;WH-SMG;SKU020;500
06/01/2024;WH-SMG;SKU021;120
06/01/2024;WH-SMG;SKU022;80
06/01/2024;WH-SBY;SKU023;350
06/01/2024;WH-SBY;SKU024;500
06/01/2024;WH-JKT;SKU025;500
06/01/2024;WH-SMG;SKU026;500
06/01/2024;WH-SMG;SKU027;200
06/01/2024;WH-SMG;SKU028;500
06/01/2024;WH-SBY;SKU029;120
06/01/2024;WH-JKT;SKU030;80
06/01/2024;WH-SMG;SKU031;50
06/01/2024;WH-JKT;SKU032;80
06/01/2024;WH-JKT;SKU033;80
06/01/2024;WH-SBY;SKU034;200
06/01/2024;WH-SBY;SKU035;500
06/01/2024;WH-JKT;SKU036;200
06/01/2024;WH-SBY;SKU037;80
06/01/2024;WH-SMG;SKU038;500
06/01/2024;WH-SBY;SKU039;50
06/01/2024;WH-SMG;SKU040;350
06/01/2024;WH-SMG;SKU041;80
06/01/2024;WH-JKT;SKU042;200
06/01/2024;WH-SBY;SKU043;120
06/01/2024;WH-SBY;SKU044;80
06/01/2024;WH-SBY;SKU045;80
07/01/2024;WH-SBY;SKU001;
07/01/2024;WH-SBY;SKU002;120
07/01/2024;WH-SMG;SKU003;350
07/01/2024;WH-JKT;SKU007;50
07/01/2024;WH-SBY;SKU008;500
07/01/2024;WH-SBY;SKU009;200
07/01/2024;WH-SMG;SKU004;200
07/01/2024;WH-JKT;SKU005;50
07/01/2024;WH-JKT;SKU006;80
07/01/2024;WH-JKT;SKU010;500
07/01/2024;WH-SMG;SKU011;50
07/01/2024;WH-SBY;SKU012;120
07/01/2024;WH-JKT;SKU013;80
07/01/2024;WH-SMG;SKU014;350
07/01/2024;WH-SMG;SKU015;500
07/01/2024;WH-SMG;SKU016;200
07/01/2024;WH-SMG;SKU017;350
07/01/2024;WH-SBY;SKU018;120
07/01/2024;WH-SBY;SKU019;80
07/01/2024;WH-JKT;SKU020;500
07/01/2024;WH-SMG;SKU021;350
07/01/2024;WH-SBY;SKU022;500
07/01/2024;WH-SMG;SKU023;500
07/01/2024;WH-SMG;SKU024;350
07/01/2024;WH-SBY;SKU025;500
07/01/2024;WH-JKT;SKU026;350
07/01/2024;WH-SMG;SKU027;500
07/01/2024;WH-SBY;SKU028;500
07/01/2024;WH-SBY;SKU029;
07/01/2024;WH-JKT;SKU030;120
07/01/2024;WH-SBY;SKU031;80
07/01/2024;WH-SBY;SKU032;500
07/01/2024;WH-SMG;SKU033;350
07/01/2024;WH-SBY;SKU034;50
07/01/2024;WH-SMG;SKU035;120
07/01/2024;WH-SBY;SKU036;
07/01/2024;WH-SBY;SKU037;120
07/01/2024;WH-JKT;SKU038;500
07/01/2024;WH-JKT;SKU039;200
07/01/2024;WH-JKT;SKU040;50
07/01/2024;WH-JKT;SKU041;350
07/01/2024;WH-SMG;SKU042;80
07/01/2024;WH-SMG;SKU043;120
07/01/2024;WH-SMG;SKU044;500
07/01/2024;WH-JKT;SKU045;500
08/01/2024;WH-SBY;SKU001;80
08/01/2024;WH-JKT;SKU002;50
08/01/2024;WH-SMG;SKU003;350
08/01/2024;WH-SBY;SKU007;
08/01/2024;WH-SMG;SKU008;350
08/01/2024;WH-SBY;SKU009;350
08/01/2024;WH-SMG;SKU004;500
08/01/2024;WH-SMG;SKU005;50
08/01/2024;WH-JKT;SKU006;120
08/01/2024;WH-SBY;SKU010;120
08/01/2024;WH-SBY;SKU011;
08/01/2024;WH-JKT;SKU012;350
08/01/2024;WH-SMG;SKU013;120
08/01/2024;WH-JKT;SKU014;500
08/01/2024;WH-SMG;SKU015;80
08/01/2024;WH-SBY;SKU016;120
08/01/2024;WH-SBY;SKU017;500
08/01/2024;WH-SBY;SKU018;350
08/01/2024;WH-JKT;SKU019;200
08/01/2024;WH-JKT;SKU020;80
08/01/2024;WH-SBY;SKU021;50
08/01/2024;WH-SBY;SKU022;80
08/01/2024;WH-SMG;SKU023;500
08/01/2024;WH-SMG;SKU024;350
08/01/2024;WH-SBY;SKU025;80
08/01/2024;WH-SBY;SKU026;350
08/01/2024;WH-JKT;SKU027;120
08/01/2024;WH-SBY;SKU028;200
08/01/2024;WH-SMG;SKU029;350
08/01/2024;WH-SBY;SKU030;200
08/01/2024;WH-SMG;SKU031;350
08/01/2024;WH-SBY;SKU032;80
08/01/2024;WH-JKT;SKU033;200
08/01/2024;WH-JKT;SKU034;50
08/01/2024;WH-SBY;SKU035;120
08/01/2024;WH-SBY;SKU036;120
08/01/2024;WH-JKT;SKU037;80
08/01/2024;WH-SBY;SKU038;200
08/01/2024;WH-SBY;SKU039;80
08/01/2024;WH-JKT;SKU040;200
08/01/2024;WH-SMG;SKU041;350
08/01/2024;WH-SMG;SKU042;120
08/01/2024;WH-SMG;SKU043;350
08/01/2024;WH-SBY;SKU044;350
08/01/2024;WH-SBY;SKU045;350
09/01/2024;WH-SBY;SKU001;50
09/01/2024;WH-SBY;SKU002;80
09/01/2024;WH-SMG;SKU003;50
09/01/2024;WH-SBY;SKU007;50
09/01/2024;WH-SBY;SKU008;200
09/01/2024;WH-SBY;SKU009;50
09/01/2024;WH-SBY;SKU004;120
09/01/2024;WH-JKT;SKU005;350
09/01/2024;WH-JKT;SKU006;120
09/01/2024;WH-SMG;SKU010;200
09/01/2024;WH-SBY;SKU011;120
09/01/2024;WH-SBY;SKU012;200
09/01/2024;WH-SBY;SKU013;350
09/01/2024;WH-JKT;SKU014;350
09/01/2024;WH-SBY;SKU015;120
09/01/2024;WH-SBY;SKU016;120
09/01/2024;WH-SBY;SKU017;200
09/01/2024;WH-JKT;SKU018;500
09/01/2024;WH-JKT;SKU019;120
09/01/2024;WH-JKT;SKU020;50
09/01/2024;WH-SMG;SKU021;200
09/01/2024;WH-SBY;SKU022;50
09/01/2024;WH-SMG;SKU023;80
09/01/2024;WH-SBY;SKU024;500
09/01/2024;WH-JKT;SKU025;350
09/01/2024;WH-SMG;SKU026;200
09/01/2024;WH-JKT;SKU027;120
09/01/2024;WH-JKT;SKU028;50
09/01/2024;WH-SBY;SKU029;120
09/01/2024;WH-JKT;SKU030;120
09/01/2024;WH-SBY;SKU031;50
09/01/2024;WH-JKT;SKU032;350
09/01/2024;WH-SMG;SKU033;200
09/01/2024;WH-SBY;SKU034;50
09/01/2024;WH-SMG;SKU035;80
09/01/2024;WH-JKT;SKU036;200
09/01/2024;WH-SBY;SKU037;350
09/01/2024;WH-SMG;SKU038;120
09/01/2024;WH-SBY;SKU039;200
09/01/2024;WH-SMG;SKU040;120
09/01/2024;WH-SMG;SKU041;120
09/01/2024;WH-JKT;SKU042;350
09/01/2024;WH-JKT;SKU043;350
09/01/2024;WH-SBY;SKU044;200
09/01/2024;WH-SMG;SKU045;500
10/01/2024;WH-JKT;SKU001;200
10/01/2024;WH-SMG;SKU002;80
10/01/2024;WH-JKT;SKU003;350
10/01/2024;WH-JKT;SKU007;
10/01/2024;WH-JKT;SKU008;350
10/01/2024;WH-JKT;SKU009;50
10/01/2024;WH-SBY;SKU004;500
10/01/2024;WH-SMG;SKU005;200
10/01/2024;WH-SBY;SKU006;120
10/01/2024;WH-JKT;SKU010;
10/01/2024;WH-JKT;SKU011;80
10/01/2024;WH-JKT;SKU012;350
10/01/2024;WH-SMG;SKU013;500
10/01/2024;WH-JKT;SKU014;350
10/01/2024;WH-SMG;SKU015;120
10/01/2024;WH-SMG;SKU016;200
10/01/2024;WH-JKT;SKU017;500
10/01/2024;WH-SMG;SKU018;200
10/01/2024;WH-SMG;SKU019;50
10/01/2024;WH-JKT;SKU020;350
10/01/2024;WH-SMG;SKU021;120
10/01/2024;WH-JKT;SKU022;50
10/01/2024;WH-SMG;SKU023;200
10/01/2024;WH-JKT;SKU024;120
10/01/2024;WH-SBY;SKU025;120
10/01/2024;WH-JKT;SKU026;500
10/01/2024;WH-SMG;SKU027;50
10/01/2024;WH-JKT;SKU028;50
10/01/2024;WH-JKT;SKU029;120
10/01/2024;WH-JKT;SKU030;500
10/01/2024;WH-SMG;SKU031;500
10/01/2024;WH-SMG;SKU032;500
10/01/2024;WH-SMG;SKU033;80
10/01/2024;WH-JKT;SKU034;
10/01/2024;WH-JKT;SKU035;50
10/01/2024;WH-JKT;SKU036;500
10/01/2024;WH-SMG;SKU037;50
10/01/2024;WH-SBY;SKU038;50
10/01/2024;WH-SMG;SKU039;120
10/01/2024;WH-SBY;SKU040;80
10/01/2024;WH-SBY;SKU041;200
10/01/2024;WH-JKT;SKU042;50
10/01/2024;WH-JKT;SKU043;80
10/01/2024;WH-SBY;SKU044;50
10/01/2024;WH-SBY;SKU045;50
11/01/2024;WH-SMG;SKU001;80
11/01/2024;WH-SBY;SKU002;50
11/01/2024;WH-SBY;SKU003;120
11/01/2024;WH-JKT;SKU007;200
11/01/2024;WH-SBY;SKU008;120
11/01/2024;WH-JKT;SKU009;350
11/01/2024;WH-SBY;SKU004;120
11/01/2024;WH-JKT;SKU005;
11/01/2024;WH-SBY;SKU006;50
11/01/2024;WH-SBY;SKU010;50
11/01/2024;WH-SBY;SKU011;120
11/01/2024;WH-SBY;SKU012;350
11/01/2024;WH-JKT;SKU013;50
11/01/2024;WH-SMG;SKU014;80
11/01/2024;WH-SBY;SKU015;500
11/01/2024;WH-SBY;SKU016;200
11/01/2024;WH-JKT;SKU017;500
11/01/2024;WH-SBY;SKU018;200
11/01/2024;WH-SBY;SKU019;350
11/01/2024;WH-JKT;SKU020;500
11/01/2024;WH-SMG;SKU021;350
11/01/2024;WH-JKT;SKU022;
11/01/2024;WH-JKT;SKU023;500
11/01/2024;WH-JKT;SKU024;500
11/01/2024;WH-JKT;SKU025;120
11/01/2024;WH-SMG;SKU026;500
11/01/2024;WH-SBY;SKU027;350
11/01/2024;WH-SMG;SKU028;350
11/01/2024;WH-SBY;SKU029;120
11/01/2024;WH-JKT;SKU030;350
11/01/2024;WH-JKT;SKU031;120
11/01/2024;WH-SBY;SKU032;50
11/01/2024;WH-SBY;SKU033;80
11/01/2024;WH-SBY;SKU034;50
11/01/2024;WH-JKT;SKU035;120
11/01/2024;WH-SBY;SKU036;50
11/01/2024;WH-SBY;SKU037;500
11/01/2024;WH-JKT;SKU038;120
11/01/2024;WH-SMG;SKU039;350
11/01/2024;WH-SMG;SKU040;120
11/01/2024;WH-SMG;SKU041;
11/01/2024;WH-JKT;SKU042;350
11/01/2024;WH-SBY;SKU043;120
11/01/2024;WH-SMG;SKU044;80
11/01/2024;WH-SMG;SKU045;120
12/01/2024;WH-SBY;SKU001;500
12/01/2024;WH-SBY;SKU002;350
12/01/2024;WH-SMG;SKU003;50
12/01/2024;WH-SMG;SKU007;50
12/01/2024;WH-JKT;SKU008;80
12/01/2024;WH-SMG;SKU009;120
12/01/2024;WH-SBY;SKU004;
12/01/2024;WH-SMG;SKU005;200
12/01/2024;WH-JKT;SKU006;120
12/01/2024;WH-SMG;SKU010;500
12/01/2024;WH-SMG;SKU011;50
12/01/2024;WH-SBY;SKU012;200
12/01/2024;WH-SMG;SKU013;200
12/01/2024;WH-SMG;SKU014;350
12/01/2024;WH-JKT;SKU015;350
12/01/2024;WH-JKT;SKU016;120
12/01/2024;WH-JKT;SKU017;
12/01/2024;WH-SMG;SKU018;500
12/01/2024;WH-SBY;SKU019;120
12/01/2024;WH-SMG;SKU020;200
12/01/2024;WH-SBY;SKU021;80
12/01/2024;WH-SBY;SKU022;80
12/01/2024;WH-SBY;SKU023;80
12/01/2024;WH-SMG;SKU024;350
12/01/2024;WH-SMG;SKU025;200
12/01/2024;WH-SMG;SKU026;200
12/01/2024;WH-SMG;SKU027;50
12/01/2024;WH-SBY;SKU028;350
12/01/2024;WH-JKT;SKU029;80
12/01/2024;WH-SMG;SKU030;500
12/01/2024;WH-SBY;SKU031;120
12/01/2024;WH-SMG;SKU032;200
12/01/2024;WH-JKT;SKU033;
12/01/2024;WH-SBY;SKU034;80
12/01/2024;WH-SBY;SKU035;120
12/01/2024;WH-SMG;SKU036;50
12/01/2024;WH-JKT;SKU037;200
12/01/2024;WH-SBY;SKU038;500
12/01/2024;WH-SBY;SKU039;200
12/01/2024;WH-SBY;SKU040;350
12/01/2024;WH-JKT;SKU041;200
12/01/2024;WH-JKT;SKU042;120
12/01/2024;WH-SBY;SKU043;500
12/01/2024;WH-SMG;SKU044;200
12/01/2024;WH-SBY;SKU045;120
13/01/2024;WH-SBY;SKU001;200
13/01/2024;WH-SBY;SKU002;200
13/01/2024;WH-SBY;SKU003;200
13/01/2024;WH-SBY;SKU007;350
13/01/2024;WH-SBY;SKU008;50
13/01/2024;WH-JKT;SKU009;120
13/01/2024;WH-SMG;SKU004;500
13/01/2024;WH-JKT;SKU005;350
13/01/2024;WH-SMG;SKU006;120
13/01/2024;WH-JKT;SKU010;350
13/01/2024;WH-SMG;SKU011;80
13/01/2024;WH-SBY;SKU012;350
13/01/2024;WH-SBY;SKU013;80
13/01/2024;WH-SMG;SKU014;120
13/01/2024;WH-SBY;SKU015;120
13/01/2024;WH-SMG;SKU016;
13/01/2024;WH-JKT;SKU017;80
13/01/2024;WH-JKT;SKU018;500
13/01/2024;WH-SMG;SKU019;200
13/01/2024;WH-SMG;SKU020;80
13/01/2024;WH-JKT;SKU021;500
13/01/2024;WH-SBY;SKU022;200
13/01/2024;WH-SBY;SKU023;200
13/01/2024;WH-JKT;SKU024;50
13/01/2024;WH-JKT;SKU025;120
13/01/2024;WH-JKT;SKU026;50
13/01/2024;WH-JKT;SKU027;500
13/01/2024;WH-JKT;SKU028;200
13/01/2024;WH-SMG;SKU029;350
13/01/2024;WH-SMG;SKU030;80
13/01/2024;WH-SBY;SKU031;120
13/01/2024;WH-SBY;SKU032;200
13/01/2024;WH-SMG;SKU033;120
13/01/2024;WH-SBY;SKU034;350
13/01/2024;WH-SMG;SKU035;200
13/01/2024;WH-SMG;SKU036;200
13/01/2024;WH-JKT;SKU037;350
13/01/2024;WH-JKT;SKU038;80
13/01/2024;WH-SBY;SKU039;80
13/01/2024;WH-SBY;SKU040;500
13/01/2024;WH-SBY;SKU041;350
13/01/2024;WH-JKT;SKU042;200
13/01/2024;WH-SBY;SKU043;50
13/01/2024;WH-SBY;SKU044;50
13/01/2024;WH-SBY;SKU045;200
14/01/2024;WH-SBY;SKU001;500
14/01/2024;WH-SBY;SKU002;200
14/01/2024;WH-SBY;SKU003;120
14/01/2024;WH-JKT;SKU007;350
14/01/2024;WH-SBY;SKU008;500
14/01/2024;WH-SBY;SKU009;200
14/01/2024;WH-SBY;SKU004;350
14/01/2024;WH-SMG;SKU005;50
14/01/2024;WH-JKT;SKU006;80
14/01/2024;WH-SBY;SKU010;120
14/01/2024;WH-SBY;SKU011;500
14/01/2024;WH-SBY;SKU012;200
14/01/2024;WH-SBY;SKU013;350
14/01/2024;WH-SBY;SKU014;50
14/01/2024;WH-SBY;SKU015;50
14/01/2024;WH-SMG;SKU016;350
14/01/2024;WH-SMG;SKU017;80
14/01/2024;WH-SBY;SKU018;500
14/01/2024;WH-SBY;SKU019;200
14/01/2024;WH-SBY;SKU020;500
14/01/2024;WH-JKT;SKU021;120
14/01/2024;WH-SBY;SKU022;500
14/01/2024;WH-SBY;SKU023;500
14/01/2024;WH-SBY;SKU024;200
14/01/2024;WH-SMG;SKU025;350
14/01/2024;WH-SBY;SKU026;120
14/01/2024;WH-SBY;SKU027;50
14/01/2024;WH-SMG;SKU028;350
14/01/2024;WH-SMG;SKU029;50
14/01/2024;WH-JKT;SKU030;350
14/01/2024;WH-SBY;SKU031;350
14/01/2024;WH-SMG;SKU032;500
14/01/2024;WH-JKT;SKU033;350
14/01/2024;WH-JKT;SKU034;80
14/01/2024;WH-SBY;SKU035;120
14/01/2024;WH-JKT;SKU036;350
14/01/2024;WH-JKT;SKU037;200
14/01/2024;WH-JKT;SKU038;350
14/01/2024;WH-JKT;SKU039;500
14/01/2024;WH-JKT;SKU040;500
14/01/2024;WH-SBY;SKU041;500
14/01/2024;WH-JKT;SKU042;350
14/01/2024;WH-SMG;SKU043;120
14/01/2024;WH-JKT;SKU044;50
14/01/2024;WH-JKT;SKU045;200
15/01/2024;WH-SBY;SKU001;120
15/01/2024;WH-SBY;SKU002;500
15/01/2024;WH-JKT;SKU003;200
15/01/2024;WH-JKT;SKU007;120
15/01/2024;WH-SMG;SKU008;350
15/01/2024;WH-SMG;SKU009;50
15/01/2024;WH-SBY;SKU004;80
15/01/2024;WH-JKT;SKU005;50
15/01/2024;WH-SBY;SKU006;120
15/01/2024;WH-SMG;SKU010;50
15/01/2024;WH-SBY;SKU011;120
15/01/2024;WH-JKT;SKU012;200
15/01/2024;WH-SBY;SKU013;
15/01/2024;WH-SMG;SKU014;120
15/01/2024;WH-SBY;SKU015;50
15/01/2024;WH-JKT;SKU016;50
15/01/2024;WH-SMG;SKU017;50
15/01/2024;WH-SBY;SKU018;50
15/01/2024;WH-JKT;SKU019;200
15/01/2024;WH-SMG;SKU020;200
15/01/2024;WH-JKT;SKU021;200
15/01/2024;WH-SBY;SKU022;350
15/01/2024;WH-SMG;SKU023;200
15/01/2024;WH-SMG;SKU024;50
15/01/2024;WH-SMG;SKU025;
15/01/2024;WH-SMG;SKU026;
15/01/2024;WH-JKT;SKU027;500
15/01/2024;WH-SBY;SKU028;
15/01/2024;WH-SMG;SKU029;120
15/01/2024;WH-JKT;SKU030;350
15/01/2024;WH-SMG;SKU031;350
15/01/2024;WH-SMG;SKU032;200
15/01/2024;WH-SMG;SKU033;50
15/01/2024;WH-SBY;SKU034;50
15/01/2024;WH-JKT;SKU035;350
15/01/2024;WH-SBY;SKU036;50
